;lat;lon;num
0;[42.5638369, 42.336932899999994];[8.750750199999999, 9.0153921];0
1;[42.5638369, 41.8562794];[8.750750199999999, 9.398569];1
2;[42.336932899999994, 41.8562794];[9.0153921, 9.398569];2
3;[42.6370782, 42.5638369];[8.935262199999999, 8.750750199999999];3
4;[42.6370782, 43.005320000000005];[8.935262199999999, 9.358310000000001];4
5;[42.5638369, 43.005320000000005];[8.750750199999999, 9.358310000000001];5
6;[42.6370782, 42.336932899999994];[8.935262199999999, 9.0153921];6
7;[42.336932899999994, 42.5467846];[9.0153921, 9.1854941];7
8;[42.6370782, 42.5467846];[8.935262199999999, 9.1854941];8
9;[42.3052904, 42.336932899999994];[9.1511935, 9.0153921];9
10;[42.3052904, 42.5467846];[9.1511935, 9.1854941];10
11;[42.5538, 42.3052904];[9.4817, 9.1511935];11
12;[42.5538, 42.5467846];[9.4817, 9.1854941];12
13;[42.3052904, 42.2604939];[9.1511935, 9.5458604];13
14;[42.5538, 42.2604939];[9.4817, 9.5458604];14
15;[42.3052904, 41.8562794];[9.1511935, 9.398569];15
16;[42.2604939, 41.8562794];[9.5458604, 9.398569];16
17;[42.6521, 42.6370782];[9.1985, 8.935262199999999];17
18;[42.6521, 43.005320000000005];[9.1985, 9.358310000000001];18
19;[42.6521, 42.5467846];[9.1985, 9.1854941];19
20;[42.8749176, 42.6521];[9.4312366, 9.1985];20
21;[42.8749176, 43.005320000000005];[9.4312366, 9.358310000000001];21
22;[42.5538, 42.8749176];[9.4817, 9.4312366];22
23;[42.8749176, 42.2604939];[9.4312366, 9.5458604];23
24;[42.632069200000004, 42.5538];[9.3579044, 9.4817];24
25;[42.632069200000004, 42.5467846];[9.3579044, 9.1854941];25
26;[42.6521, 42.632069200000004];[9.1985, 9.3579044];26
27;[42.632069200000004, 42.8749176];[9.3579044, 9.4312366];27
