vert1;vert2;wind
13;22;CALACUCCIA
22;13;CALVI
25;22;CALVI
22;25;ILE_ROUSSE
20;21;CORTE
21;20;PIETRALBA
20;14;CALACUCCIA
14;20;CORTE
21;17;CORTE
17;21;BASTIA
17;15;CORTE
15;17;ALISTRO
15;14;SOLENZARA
14;15;CORTE
13;14;CALACUCCIA
14;13;CORTE
22;23;CALACUCCIA
23;22;ILE_ROUSSE
23;20;PIETRALBA
20;23;CALACUCCIA
25;27;ILE_ROUSSE
27;25;CAP_CORSE
23;26;ILE_ROUSSE
26;23;PIETRALBA
27;26;SAN_PIETRO_DI_TENDA
26;27;ILE_ROUSSE
27;32;CAP_CORSE
32;27;SAN_PIETRO_DI_TENDA
17;18;BASTIA
18;17;ALISTRO
29;30;OLETTA
30;29;BASTIA
29;28;PIETRALBA
28;29;OLETTA
28;31;SAN_PIETRO_DI_TENDA
31;28;OLETTA
30;31;OLETTA
31;30;CAGNANO
21;29;PIETRALBA
29;21;BASTIA
18;30;BASTIA
30;18;CAGNANO
26;28;SAN_PIETRO_DI_TENDA
28;26;PIETRALBA
32;31;CAGNANO
31;32;SAN_PIETRO_DI_TENDA
