"budget, whites, grays, blacks, abort, success, delivered, fail"
1000,0.0,9.8,90.2,0,31.6,11.5,25.4,31.4
2000,0.2,36.1,63.8,0,11.8,4.7,28.7,54.8
3000,0.2,67.4,32.3,0,4.2,4.6,32.0,59.2
4000,0.7,92.4,6.9,0,3.5,5.1,34.2,57.1
5000,1.2,96.7,2.1,0,3.4,4.5,29.3,62.8
6000,1.0,98.4,0.6,0,2.9,5.9,28.2,63.0
7000,1.5,98.5,0.0,0,4.5,7.0,31.5,57.0
8000,1.8,98.0,0.2,0,3.5,5.7,24.4,66.4
9000,1.6,98.4,0.0,0,3.6,6.6,26.9,62.9
10000,1.8,98.2,0.0,0,4.1,8.5,27.7,59.6
11000,2.4,97.6,0.0,0,4.6,8.5,22.2,64.6
12000,4.3,95.7,0.0,0,6.0,11.4,24.4,58.2
13000,5.2,94.8,0.0,0,5.9,12.2,22.8,59.0
14000,5.4,94.6,0.0,0,5.6,10.4,18.3,65.8
15000,6.0,94.0,0.0,0,5.7,11.0,15.9,67.4
16000,6.8,93.2,0.0,0,7.0,12.8,17.1,63.1
17000,6.3,93.7,0.0,0,6.6,12.5,14.5,66.4
18000,8.6,91.4,0.0,0,7.1,10.1,17.0,65.8
19000,8.5,91.5,0.0,0,8.6,12.2,17.3,62.0
20000,8.7,91.3,0.0,0,6.8,13.4,11.7,68.1
21000,12.9,87.1,0.0,0,7.8,16.5,16.2,59.4
22000,14.6,85.4,0.0,0,8.1,15.1,12.5,64.3
23000,14.6,85.4,0.0,0,8.3,13.4,11.2,67.1
24000,14.8,85.2,0.0,0,9.0,15.9,11.1,64.0
25000,15.5,84.5,0.0,0,9.2,12.1,12.3,66.4
26000,19.8,80.2,0.0,0,9.8,15.4,10.5,64.3
27000,20.5,79.5,0.0,0,9.9,15.4,10.6,64.2
28000,23.3,76.7,0.0,0,7.8,16.1,8.8,67.3
29000,22.9,77.1,0.0,0,11.9,16.8,7.4,64.0
30000,28.3,71.7,0.0,0,14.0,13.8,10.1,62.2
31000,30.7,69.3,0.0,0,11.0,14.8,8.5,65.7
32000,25.4,74.6,0.0,0,12.4,16.8,6.1,64.7
33000,34.2,65.8,0.0,0,11.2,13.5,6.9,68.4
34000,35.7,64.3,0.0,0,14.1,16.1,6.9,63.0
35000,40.5,59.5,0.0,0,12.8,15.0,5.3,66.9
36000,40.6,59.4,0.0,0,12.7,12.8,4.1,70.4
37000,41.1,58.9,0.0,0,13.3,11.5,5.5,69.7
38000,40.4,59.6,0.0,0,13.6,13.3,6.8,66.2
39000,38.5,61.5,0.0,0,15.1,13.9,3.5,67.5
40000,45.6,54.4,0.0,0,13.4,13.2,5.2,68.2
41000,53.2,46.8,0.0,0,14.1,11.9,5.1,69.0
42000,48.9,51.1,0.0,0,13.3,8.6,2.5,75.6
43000,54.5,45.5,0.0,0,15.3,9.0,4.4,71.2
44000,53.8,46.2,0.0,0,15.7,14.4,2.9,67.0
45000,62.0,38.0,0.0,0,17.8,11.0,2.8,68.4
46000,61.9,38.1,0.0,0,17.4,9.0,2.7,70.9
47000,67.3,32.8,0.0,0,16.4,15.6,1.3,66.7
48000,71.6,28.4,0.0,0,19.3,12.6,1.5,66.6
49000,61.2,38.8,0.0,0,14.3,6.8,2.2,76.7
50000,63.8,36.2,0.0,0,12.6,6.1,1.6,79.6
